,goal_reached,convo_length,average_search_time,number_jumps,number_redundant,
None,TRUE,7,0.07 ms,2,0,
,TRUE,7,0.07 ms,2,0,
,TRUE,5,0.07 ms,0,0,
,TRUE,6,0.07 ms,0,0,
,TRUE,12,0.08 ms,3,0,
,TRUE,6,0.07 ms,0,0,
,TRUE,7,0.08 ms,2,0,
,TRUE,6,0.07 ms,2,0,
,TRUE,5,0.07 ms,1,0,
,TRUE,9,0.07 ms,2,0,
,TRUE,5,0.07 ms,0,0,
,TRUE,6,0.08 ms,0,0,
,TRUE,6,0.08 ms,2,0,
,TRUE,7,0.07 ms,2,0,
,TRUE,5,0.07 ms,0,0,
,TRUE,6,0.07 ms,0,0,
,TRUE,6,0.09 ms,0,0,
,TRUE,8,0.08 ms,2,0,
,TRUE,6,0.07 ms,0,0,
,TRUE,5,0.07 ms,1,0,
1 Level,TRUE,4,0.07 ms,2,0,
,TRUE,7,0.07 ms,2,0,
,TRUE,4,0.07 ms,1,0,
,TRUE,5,0.07 ms,1,1,
,TRUE,4,0.08 ms,1,0,
,TRUE,5,0.07 ms,2,0,
,TRUE,7,0.07 ms,2,0,
,TRUE,4,0.07 ms,3,0,
,TRUE,6,0.07 ms,2,0,
,TRUE,6,0.07 ms,2,0,
,TRUE,4,0.08 ms,1,0,
,TRUE,4,0.07 ms,2,0,
,TRUE,3,0.07 ms,1,0,
,TRUE,5,0.08 ms,3,0,
,TRUE,6,0.07 ms,3,0,
,TRUE,3,0.08 ms,2,0,
,TRUE,6,0.08 ms,3,0,
,TRUE,4,0.07 ms,3,0,
,TRUE,5,0.07 ms,1,0,
,TRUE,4,0.07 ms,1,0,
2 Level,TRUE,5,0.08 ms,1,1,
,TRUE,5,0.07 ms,1,1,
,TRUE,5,0.07 ms,1,0,
,TRUE,6,0.09 ms,2,0,
,TRUE,5,0.07 ms,1,0,
,TRUE,4,0.08 ms,2,0,
,TRUE,5,0.07 ms,1,0,
,TRUE,3,0.08 ms,3,0,
,TRUE,5,0.08 ms,2,0,
,TRUE,5,0.07 ms,1,0,
,TRUE,3,0.07 ms,1,1,
,TRUE,6,0.08 ms,1,0,
,TRUE,5,0.09 ms,1,0,
,TRUE,5,0.07 ms,1,1,
,TRUE,4,0.07 ms,1,0,
,TRUE,5,0.07 ms,1,1,
,TRUE,4,0.07 ms,1,0,
,TRUE,6,0.08 ms,3,0,
,TRUE,4,0.07 ms,2,0,
,TRUE,7,0.07 ms,2,0,
3 Level,TRUE,7,0.08 ms,1,1,
,TRUE,4,0.07 ms,1,0,
,TRUE,4,0.08 ms,1,0,
,TRUE,6,0.07 ms,2,1,
,TRUE,3,0.07 ms,2,0,
,TRUE,3,0.08 ms,1,1,
,TRUE,5,0.07 ms,1,1,
,TRUE,4,0.07 ms,1,1,
,TRUE,4,0.07 ms,1,1,
,TRUE,4,0.07 ms,1,0,
,TRUE,4,0.08 ms,1,1,
,TRUE,3,0.08 ms,1,1,
,TRUE,7,0.07 ms,2,0,
,TRUE,4,0.07 ms,1,1,
,TRUE,5,0.08 ms,1,1,
,TRUE,4,0.07 ms,1,0,
,TRUE,5,0.11 ms,1,1,
,TRUE,4,0.09 ms,1,1,
,TRUE,4,0.07 ms,1,0,
,TRUE,4,0.07 ms,1,1,
,,,,,,
,,,,,,
,,Conversation Length,,# Jumps,# Redundant Questions,
,AVERAGE,5.14,,1.39,0.24,
,STDEV,1.49,,0.82,0.43,
,MAX,12,,3,1,
,MIN,3,,0,0,