,goal_reached,convo_length,average_search_time,number_jumps,number_redundant
None,TRUE,7,0.03 ms,0,0
,TRUE,12,0.04 ms,0,0
,TRUE,10,0.03 ms,0,0
,TRUE,11,0.03 ms,0,0
,TRUE,9,0.04 ms,0,0
,TRUE,9,0.04 ms,0,0
,TRUE,10,0.04 ms,0,0
,TRUE,10,0.04 ms,0,0
,TRUE,10,0.03 ms,0,0
,TRUE,10,0.03 ms,0,0
,TRUE,8,0.04 ms,0,0
,TRUE,7,0.03 ms,0,0
,TRUE,9,0.04 ms,0,0
,TRUE,7,0.04 ms,0,0
,TRUE,9,0.03 ms,0,0
,TRUE,11,0.04 ms,0,0
,TRUE,12,0.04 ms,0,0
,TRUE,7,0.04 ms,0,0
,TRUE,8,0.03 ms,0,0
,TRUE,6,0.04 ms,0,0
1 Level,TRUE,9,0.04 ms,1,0
,TRUE,8,0.04 ms,0,0
,TRUE,9,0.04 ms,1,0
,TRUE,5,0.04 ms,2,0
,TRUE,5,0.04 ms,1,0
,TRUE,8,0.04 ms,1,0
,TRUE,6,0.03 ms,1,0
,TRUE,7,0.04 ms,1,0
,TRUE,6,0.03 ms,0,0
,TRUE,7,0.04 ms,1,0
,TRUE,7,0.03 ms,0,0
,TRUE,6,0.04 ms,2,0
,TRUE,8,0.04 ms,1,0
,TRUE,7,0.04 ms,0,0
,TRUE,6,0.05 ms,1,0
,TRUE,8,0.04 ms,1,2
,TRUE,5,0.03 ms,1,0
,TRUE,8,0.04 ms,2,2
,TRUE,9,0.04 ms,2,0
,TRUE,11,0.04 ms,0,2
2 Level,TRUE,5,0.03 ms,2,0
,TRUE,7,0.04 ms,0,0
,TRUE,6,0.04 ms,2,0
,TRUE,8,0.04 ms,3,2
,TRUE,6,0.04 ms,1,0
,TRUE,8,0.04 ms,2,2
,TRUE,5,0.04 ms,2,0
,TRUE,5,0.04 ms,3,0
,TRUE,8,0.04 ms,2,2
,TRUE,6,0.03 ms,1,0
,TRUE,7,0.04 ms,4,0
,TRUE,10,0.04 ms,1,0
,TRUE,5,0.04 ms,1,0
,TRUE,5,0.04 ms,1,0
,TRUE,6,0.05 ms,3,0
,TRUE,9,0.04 ms,0,0
,TRUE,7,0.04 ms,2,0
,TRUE,7,0.04 ms,4,2
,TRUE,6,0.04 ms,3,0
,TRUE,5,0.04 ms,1,0
3 Level,TRUE,9,0.04 ms,3,2
,TRUE,6,0.04 ms,2,0
,TRUE,8,0.04 ms,0,0
,TRUE,5,0.04 ms,1,0
,TRUE,5,0.06 ms,3,0
,TRUE,7,0.04 ms,3,0
,TRUE,8,0.04 ms,2,0
,TRUE,7,0.06 ms,3,2
,TRUE,5,0.06 ms,1,0
,TRUE,7,0.04 ms,2,0
,TRUE,7,0.04 ms,2,0
,TRUE,7,0.04 ms,3,2
,TRUE,5,0.04 ms,2,0
,TRUE,7,0.04 ms,2,2
,TRUE,5,0.04 ms,2,0
,TRUE,6,0.04 ms,2,0
,TRUE,5,0.04 ms,2,0
,TRUE,7,0.04 ms,1,0
,TRUE,5,0.03 ms,1,0
,TRUE,6,0.05 ms,2,0
,,,,,
,,,,,
,AVERAGE,7.3125,,,0.275
,MIN,5,,,0
,MAX,12,,,2